estado,nombre,numero,presidente,direccion
Tamaulipas,Lic. Wilfredo Emmanuel Ramírez Núñez ,3,False,Calle Ocotlán número 2 Colonia Victoria H. Matamoros Tamaulipas 87390 
Tamaulipas,Lic. Sotero Vallejo Hernandez ,4,False,"Calle 20 de Noviembre No. 105 Norte, Despacho 104 Colonia Zona Centro Tampico Tamaulipas 89000 "
Tamaulipas,Lic. Amada Monica Susano Saucedo ,5,False,Róo Volga No. 520 Colonia Fraccionamiento Valle Verde Reynosa Tamaulipas 88720 
Tamaulipas,Lic. Ana Xóchitl Barrios del Ángel ,6,False,Calle 14 No. 209 Altos Colonia Monteverde Ciudad Madero Tamaulipas 89420 
Tamaulipas,Lic. Enoc Alejandro García Rivera ,7,False,* Tamaulipas 
Tabasco,Lic. Jaime Antonio Reynés Manzur ,1,False,Fernando Montes de Oca #406 PB Colonia Lindavista Villahermosa Tabasco 86050 
Tabasco,Lic. Carlos Alberto Gómez Díaz Durán ,2,False,Calle Madroño número 127 Colonia Fraccionamiento Bosques de Villahermosa Villahermosa Tabasco 86030 
Sonora,Lic. Javier Iriarte Torres ,2,True,Calle Paseo de la Arboleda No. 48-A Colonia Valle Grande Hermosillo Sonora 83200 
Sonora,Lic. Salomón Griego García ,1,False,Boulevard Solidaridad número 1360 interior 22 Colonia Proyecto Róo Sonora Hermosillo Sonora 83270 
Sonora,Lic. Carlos Orduño Fragoza ,3,False,Calle Arista No. 13 Colonia Centro Hermosillo Sonora 83000 
Sonora,Lic. Ramón Valencia Serrano ,4,False,Calle Aguascalientes No. 25 Interior 9 Colonia Modelo Hermosillo Sonora 83190 
Sinaloa,Mtro. César Daniel Pérez Cázarez ,9,True,Av. Juan M. Banderas 425 Sur Colonia Jorge Almada Culiacán Sinaloa 80200 
Sinaloa,Lic. José Ramón Díaz Meza ,1,False,Calle Epitacio Osuna número 1091 Poniente Colonia Almada Culiacán Sinaloa 80200 
Sinaloa,Lic. Jesús Gabino Aldana Hernández ,2,False,"Agustín Verdugo No. 1366, Colonia Chapultepec Culiacán Sinaloa 80040 "
Sinaloa,Lic. Gerardo Aldama de la Rocha ,3,False,Calle Miguel Hidalgo número 450 poniente Colonia Centro Culiacán Sinaloa 80000 
Sinaloa,Lic. José Rafael Cebreros Bringas ,4,False,"Av. Álvaro Obregón número 742 Norte, 1er piso Colonia Centro Culiacán Sinaloa 80000 "
Sinaloa,Lic. David Cristobal Alvarez Bernal ,5,False,Av. Sierra Grande No. 104 Colonia Fraccionamiento Lomas de Mazatlán Mazatlán Sinaloa 82110 
Sinaloa,Lic. Oscar Urcisichi Arellano ,6,False,Con licencia de separación
Sinaloa,Lic. Oscar Félix Chávez Carrillo ,7,False,Avenida de los Poetas No. 1671 Colonia Fraccionamiento Portalegre Culiacán Sinaloa 80058 
Sinaloa,Lic. Dora Alicia Figueroa Quiroz ,8,False,Con licencia de separación
Sinaloa,Lic. Jorge Rafael Cebreros Varela ,10,False,Avenida Álvaro Obregón No. 742 Nte. Colonia Centro Culiacán Sinaloa 80000 
Sinaloa,Lic. Juan Carlos Maldonado Cabral ,12,False,Con licencia de separación
San Luis Potosí,Lic. Luis Miguel Meade Rodríguez ,6,True,Calle Cordillera Tangamanga número 147 Colonia Lomas Tercera Sección San Luis Potosí San Luis Potosí 78216 
San Luis Potosí,Lic. José Mario de la Garza Marroquín ,3,False,Calle Humboldt número 121 Colonia Del Valle San Luis Potosí San Luis Potosí 78200 
San Luis Potosí,Lic. Mauricio Humara Pedroza ,4,False,Calle Sierra Leona No. 231 Colonia Cumbres de San Luis San Luis Potosí San Luis Potosí 78210 
San Luis Potosí,Lic. Paulo Magaña Rodríguez ,5,False,Ignacio Comonfort número 1398 – A Colonia Alamitos San Luis Potosí San Luis Potosí 78280 
San Luis Potosí,Lic. Marcelo Del Castillo Lafuente ,7,False,Calle Fray Diego de la Magdalena No. 1256 Colonia Jardín San Luis Potosí San Luis Potosí 78260 
Quintana Roo,Lic. Javier González Alegre ,11,True,"Calle Guerrero número 20, Manzana 9, Lote 3 Colonia Supermanzana 30 Cancún Quintana Roo 77508 "
Quintana Roo,Lic. Raúl Gustavo Bringas Celiceo ,1,False,"Avenida Tulum número 192, Manzana 17, interior 35, Supermanzana 4 Colonia Plaza Tropical Cancún Quintana Roo 77500 "
Quintana Roo,Lic. Eduardo González Alonso ,2,False,"Calle Agua número 6, Planta Baja, Edificio Arrecifes Colonia Supermanzana 4 Cancún Quintana Roo 77500 "
Quintana Roo,Lic. Gabriela Lima Laurents ,3,False,"Calle 11, Manzana 8, número 18, Colonia Supermanzana 39 Cancún Quintana Roo 77507 "
Quintana Roo,Lic. Oscar Jorge Fink Serra ,4,False,Con licencia de separación
Quintana Roo,Dr. Carlos Rodolfo Yañez Peralta ,5,False,"Av. De La Luna, Manzana 9, Lote 6, Segundo Piso, Oficina 2, Supermanzana 44 77500 work"
Quintana Roo,Lic. Concepción Esteban Manchado ,6,False,"Avenida de la Luna Manzana 16, interior 302 Colonia Supermanzana 43 Cancún Quintana Roo 77506 "
Quintana Roo,Lic. Juan José López Castro ,8,False,"Calle 6 Norte por Calle 40 Avenida Norte, Manzana 71, Lote 01, número 160 D – 5, piso 1, Edificio Kaleisa Colonia Centro Playa del Carmen Quintana Roo 77710 "
Quintana Roo,Lic. Eduardo Alberto Suárez Torres ,9,False,"Calle Isla Holbox, Manzana 12, Lote 13, Departamento A Colonia Súpermanzana 32 Cancún Quintana Roo 77508 "
Quintana Roo,Lic. Luis Alejandro Medina González ,10,False,Calle Venado número 1 Manzana 17 SM 20 Colonia Centro Cancún Quintana Roo 77500 
Quintana Roo,Lic. Gilberto Guzmán Rivera ,12,False,"Plaza Paseo Playacar, Local 39, Lote 1, Manzana 19A Colonia Playacar Fase II Solidaridad Quintana Roo 77717 "
Quintana Roo,Lic. Susano Jesús Zetina Cuevas ,13,False,"Avenida Aviación Plaza Mabor, Locales 11 y 12 Colonia Fraccionamiento Playacar Fase 2 Playa del Carmen Quintana Roo 77710 "
Quintana Roo,Lic. Manuel Ernesto Núñez Cervantes ,14,False,"Avenida Acanceh, manzana 2, lote 3, supermanzana 11, piso 3B, Edificio Centro de Negocios conjunto Hotel Ibis Cancún Quintana Roo 77504 "
Quintana Roo,Lic. Guillermo Méndez Lau ,15,False,"Avenida Contoy, entre Avenida Holbox y Avenida Cozumel, Supermanzana 12, Manzana 4, Lote 11 Cancún Quintana Roo 77500 "
Querétaro,Lic. Gerardo Alcocer Murguía ,5,True,"Avenida Zaragoza Poniente número 330 Poniente, Edificio Torre Azul, despacho 1 Colonia Niños Héroes Querétaro Querétaro 76010 "
Querétaro,Lic. Ignacio González González ,1,False,Con licencia de separación
Querétaro,Lic. Carlos Uriel Márquez Ambrosi ,2,False,"Boulevard de las Ciencias número 3015, piso 2, Despacho 205, en The Village Coporativo Colonia Juriquilla Santa Fe Querétaro Querétaro 76230 "
Querétaro,Lic. Carlos Salvador Núñez Gudiño ,3,False,"Avenida Juárez Sur número 68, piso 2 Colonia Zona Centro Querétaro Querétaro 76000 "
Querétaro,Lic. Julio Sentíes Laborde ,4,False,Calle Árbol número 27 Colonia Álamos 3a sección Querétaro Querétaro 76160 
Querétaro,Lic. Antonio Juan José Gutiérrez Álvarez ,6,False,Paseo de Loma Dorada número 114 Colonia Loma Dorada Querétaro Querétaro 76060 
Querétaro,Lic. Benjamín Castro Polo ,7,False,Calle Ezequiel Montes norte número 24 Colonia Centro Querétaro Querétaro 76000 
Querétaro,Lic. Paulina Sáenz y Sáenz ,8,False,Cerro de la Bufa número 138 PB Colonia Colinas del Cimatario Querétaro Querétaro 76090 
Querétaro,Lic. David Felipe Vallarino Hernando ,9,False,"David Alfaro Siqueiros número 2, esquina José Clemente Orozco Colonia Fraccionamiento Pueblo Nuevo Querétaro Querétaro 76900 "
Querétaro,Lic. José Antonio Villaseñor Sarvide ,10,False,Con licencia de separación
Querétaro,Lic. Sergio Alejandro Barrón Ortiz ,11,False,Calle Lago Santiagillo número 119 Fraccionamiento Cumbres de Lago Juriquilla Querétaro Querétaro 76230 work
Puebla,Lic. Waldo Arellano Espindola ,7,True,"Calle 5 Poniente número 1303, piso 3, letra A Colonia Centro Puebla Puebla 72000 "
