source,target,edge_type,shell,creation_date
C0001,P0068,SH,False,1997-11-28
C0001,P0068,COM,False,1997-11-28
C0001,P0071,SH,False,1997-11-28
C0001,P0245,ADM,False,1997-11-28
C0001,P0245,SH,False,1997-11-28
C0001,P0078,SH,False,1997-11-28
C0001,P0228,SH,False,1997-11-28
C0001,P0035,LR,False,1997-11-28
C0001,P0232,SH,False,1997-11-28
C0001,P0193,SH,False,1997-11-28
C0001,P0119,SH,False,1997-11-28
C0003,P0120,LR,False,2008-03-01
C0003,P0071,LR,False,2008-03-01
C0003,P0155,ADM,False,2008-03-01
C0003,P0232,LR,False,2008-03-01
C0003,P0152,LR,False,2008-03-01
C0003,P0227,LR,False,2008-03-01
C0003,P0142,COM,False,2008-03-01
C0003,P0296,LR,False,2008-03-01
C0003,P0072,SH,False,2008-03-01
C0002,P0076,ADM,False,2008-03-01
C0003,P0231,SH,False,2008-03-01
C0003,P0121,LR,False,2008-03-01
C0002,P0072,SH,False,2008-03-01
C0002,P0152,LR,False,2008-03-01
C0003,P0159,LR,False,2008-03-01
C0002,P0252,SH,False,2008-03-01
C0003,P0035,LR,False,2008-03-01
C0004,P0216,LR,False,2008-08-05
C0004,P0042,LR,False,2008-08-05
C0004,P0120,SH,False,2008-08-05
C0004,P0123,LR,False,2008-08-05
C0004,P0232,COM,False,2008-08-05
C0004,P0071,SH,False,2008-08-05
C0004,P0037,LR,False,2008-08-05
C0004,P0232,SH,False,2008-08-05
C0004,P0113,LR,False,2008-08-05
C0004,P0296,ADM,False,2008-08-05
C0004,P0296,SH,False,2008-08-05
C0004,P0121,SH,False,2008-08-05
C0004,P0303,LR,False,2008-08-05
C0004,P0227,LR,False,2008-08-05
C0005,P0142,SH,False,2008-09-08
C0005,P0104,SH,False,2008-09-08
C0005,P0058,LR,False,2008-09-08
C0005,P0058,SH,False,2008-09-08
C0005,P0104,ADM,False,2008-09-08
C0005,P0044,COM,False,2008-09-08
C0005,P0087,SH,False,2008-09-08
C0006,P0089,SH,False,2008-12-11
C0006,P0227,COM,False,2008-12-11
C0006,P0065,SH,False,2008-12-11
C0006,P0120,SH,False,2008-12-11
C0006,P0227,SH,False,2008-12-11
C0006,P0065,LR,False,2008-12-11
C0006,P0190,SH,False,2008-12-11
C0006,P0022,ADM,False,2008-12-11
C0007,P0231,SH,False,2008-12-12
C0008,P0232,LR,False,2008-12-12
C0007,P0231,ADM,False,2008-12-12
C0009,P0010,LR,False,2008-12-12
C0007,P0232,COM,False,2008-12-12
C0009,P0077,SH,False,2008-12-12
C0009,P0071,SH,False,2008-12-12
C0009,P0071,LR,False,2008-12-12
C0009,P0069,SH,False,2008-12-12
C0007,P0296,LR,False,2008-12-12
C0009,P0257,ADM,False,2008-12-12
C0008,P0042,SH,False,2008-12-12
C0008,P0042,LR,False,2008-12-12
C0007,P0035,LR,False,2008-12-12
C0008,P0232,SH,False,2008-12-12
C0009,P0010,SH,False,2008-12-12
C0008,P0035,LR,False,2008-12-12
C0008,P0197,SH,False,2008-12-12
C0008,P0035,SH,False,2008-12-12
C0007,P0010,LR,False,2008-12-12
C0008,P0192,ADM,False,2008-12-12
C0007,P0142,SH,False,2008-12-12
C0009,P0214,COM,False,2008-12-12
C0009,P0214,SH,False,2008-12-12
C0007,P0168,LR,False,2008-12-12
C0008,P0216,COM,False,2008-12-12
C0008,P0216,SH,False,2008-12-12
C0010,P0010,COM,False,2008-12-15
C0010,P0121,LR,False,2008-12-15
C0010,P0120,LR,False,2008-12-15
C0010,P0200,SH,False,2008-12-15
C0010,P0104,ADM,False,2008-12-15
C0010,P0188,LR,False,2008-12-15
C0010,P0100,LR,False,2008-12-15
C0010,P0104,SH,False,2008-12-15
C0011,P0223,ADM,False,2008-12-18
C0011,P0080,ADM,False,2008-12-18
C0011,P0257,ADM,False,2008-12-18
C0012,P0252,ADM,False,2009-01-21
C0012,P0252,SH,False,2009-01-21
C0012,P0206,COM,False,2009-01-21
C0012,P0206,SH,False,2009-01-21
C0013,P0186,SH,False,2009-03-21
C0013,P0186,COM,False,2009-03-21
C0013,P0183,ADM,False,2009-03-21
C0013,P0183,SH,False,2009-03-21
C0014,P0295,ADM,False,2009-03-25
C0014,P0295,SH,False,2009-03-25
C0014,P0112,SH,False,2009-03-25
C0014,P0112,COM,False,2009-03-25
C0015,P0239,LR,False,2009-08-28
C0015,P0180,LR,False,2009-08-28
C0015,P0252,SH,False,2009-08-28
C0015,P0177,LR,False,2009-08-28
C0015,P0252,ADM,False,2009-08-28
C0015,P0156,SH,False,2009-08-28
C0015,P0077,LR,False,2009-08-28
C0015,P0156,COM,False,2009-08-28
C0015,P0303,LR,False,2009-08-28
C0015,P0278,LR,False,2009-08-28
C0016,P0231,SH,False,2009-09-01
C0017,P0054,LR,True,2009-09-01
C0018,P0159,COM,True,2009-09-01
C0016,P0104,SH,False,2009-09-01
C0016,P0104,COM,False,2009-09-01
C0018,P0104,SH,True,2009-09-01
C0018,P0104,ADM,True,2009-09-01
C0016,P0011,LR,False,2009-09-01
C0018,P0011,LR,True,2009-09-01
C0016,P0231,ADM,False,2009-09-01
C0017,P0156,ADM,True,2009-09-01
C0017,P0110,LR,True,2009-09-01
C0017,P0072,SH,True,2009-09-01
C0017,P0072,COM,True,2009-09-01
C0018,P0072,SH,True,2009-09-01
C0017,P0156,SH,True,2009-09-01
C0016,P0156,SH,False,2009-09-01
C0018,P0159,SH,True,2009-09-01
C0019,P0216,LR,False,2009-10-16
C0019,P0159,SH,False,2009-10-16
C0019,P0200,COM,False,2009-10-16
C0019,P0159,LR,False,2009-10-16
C0019,P0105,ADM,False,2009-10-16
C0019,P0105,SH,False,2009-10-16
C0019,P0200,SH,False,2009-10-16
C0020,P0072,COM,False,2009-10-19
C0020,P0183,ADM,False,2009-10-19
C0020,P0231,ADM,False,2009-10-19
C0020,P0104,COM,False,2009-10-19
C0020,P0252,ADM,False,2009-10-19
C0020,P0156,COM,False,2009-10-19
C0021,P0058,ADM,True,2009-11-23
C0021,P0058,SH,True,2009-11-23
C0021,P0183,SH,True,2009-11-23
C0021,P0183,COM,True,2009-11-23
C0022,P0206,COM,False,2009-12-01
C0022,P0252,ADM,False,2009-12-01
C0022,P0252,SH,False,2009-12-01
C0022,P0206,SH,False,2009-12-01
C0024,P0168,LR,False,2009-12-03
C0024,P0058,ADM,False,2009-12-03
C0024,P0058,SH,False,2009-12-03
C0024,P0206,COM,False,2009-12-03
C0024,P0206,SH,False,2009-12-03
C0024,P0070,LR,False,2009-12-03
C0024,P0094,LR,False,2009-12-03
C0023,P0231,SH,False,2009-12-03
C0024,P0037,LR,False,2009-12-03
C0023,P0142,COM,False,2009-12-03
C0023,P0142,SH,False,2009-12-03
C0023,P0231,ADM,False,2009-12-03
C0025,P0168,LR,False,2009-12-04
C0025,P0037,LR,False,2009-12-04
C0025,P0183,SH,False,2009-12-04
C0025,P0183,ADM,False,2009-12-04
C0025,P0186,COM,False,2009-12-04
C0025,P0186,SH,False,2009-12-04
C0025,P0303,LR,False,2009-12-04
C0025,P0294,LR,False,2009-12-04
C0026,P0168,LR,False,2009-12-16
C0026,P0037,LR,False,2009-12-16
C0026,P0011,SH,False,2009-12-16
C0026,P0081,SH,False,2009-12-16
C0026,P0294,LR,False,2009-12-16
C0026,P0213,SH,False,2009-12-16
C0026,P0215,SH,False,2009-12-16
C0026,P0031,SH,False,2009-12-16
C0026,P0031,COM,False,2009-12-16
C0026,P0077,ADM,False,2009-12-16
C0027,P0282,SH,False,2009-12-21
C0027,P0282,COM,False,2009-12-21
C0027,P0295,ADM,False,2009-12-21
C0027,P0295,SH,False,2009-12-21
C0028,P0087,SH,False,2009-12-23
C0028,P0080,ADM,False,2009-12-23
C0028,P0080,SH,False,2009-12-23
C0028,P0054,LR,False,2009-12-23
C0028,P0087,COM,False,2009-12-23
C0029,P0011,LR,False,2009-12-29
C0029,P0280,SH,False,2009-12-29
C0029,P0034,SH,False,2009-12-29
C0029,P0034,COM,False,2009-12-29
C0029,P0280,ADM,False,2009-12-29
C0030,P0156,COM,False,2009-12-31
C0030,P0231,SH,False,2009-12-31
C0030,P0156,SH,False,2009-12-31
C0030,P0231,ADM,False,2009-12-31
C0031,P0184,ADM,False,2010-01-06
C0031,P0184,SH,False,2010-01-06
C0031,P0250,COM,False,2010-01-06
C0031,P0250,SH,False,2010-01-06
C0032,P0183,SH,True,2010-02-06
C0032,P0183,COM,True,2010-02-06
C0033,P0156,ADM,False,2010-02-06
C0033,P0156,SH,False,2010-02-06
C0033,P0159,SH,False,2010-02-06
C0032,P0231,SH,True,2010-02-06
C0032,P0231,ADM,True,2010-02-06
C0033,P0159,COM,False,2010-02-06
C0034,P0087,SH,False,2010-02-10
C0034,P0058,ADM,False,2010-02-10
C0034,P0094,LR,False,2010-02-10
C0034,P0058,SH,False,2010-02-10
C0035,P0034,SH,True,2010-02-10
C0035,P0034,ADM,True,2010-02-10
C0034,P0087,COM,False,2010-02-10
C0035,P0280,SH,True,2010-02-10
C0035,P0280,COM,True,2010-02-10
C0036,P0183,SH,True,2010-03-03
C0036,P0183,ADM,True,2010-03-03
C0036,P0054,LR,True,2010-03-03
C0036,P0080,SH,True,2010-03-03
C0036,P0080,COM,True,2010-03-03
C0038,P0073,SH,False,2010-05-13
C0037,P0303,LR,False,2010-05-13
C0037,P0077,LR,False,2010-05-13
C0038,P0034,SH,False,2010-05-13
C0038,P0073,ADM,False,2010-05-13
C0037,P0148,COM,False,2010-05-13
C0038,P0034,COM,False,2010-05-13
C0038,P0154,LR,False,2010-05-13
C0037,P0159,ADM,False,2010-05-13
C0037,P0162,LR,False,2010-05-13
C0037,P0159,SH,False,2010-05-13
C0037,P0148,SH,False,2010-05-13
C0037,P0239,LR,False,2010-05-13
C0037,P0220,ADM,False,2010-05-13
C0037,P0122,LR,False,2010-05-13
C0037,P0180,LR,False,2010-05-13
