source,target,edge_type,shell,creation_date
C0001,P0163,LR,True,1996-07-25
C0001,P0412,COM,True,1996-07-25
C0001,P0474,ADM,True,1996-07-25
C0001,P0163,SH,True,1996-07-25
C0002,P0025,SH,True,1997-11-24
C0002,P0052,SH,True,1997-11-24
C0002,P0060,SH,True,1997-11-24
C0002,P0425,LR,True,1997-11-24
C0002,P0429,SH,True,1997-11-24
C0002,P0371,LR,True,1997-11-24
C0002,P0220,LR,True,1997-11-24
C0002,P0104,LR,True,1997-11-24
C0002,P0371,SH,True,1997-11-24
C0002,P0371,ADM,True,1997-11-24
C0002,P0479,COM,True,1997-11-24
C0002,P0104,ADM,True,1997-11-24
C0003,P0503,SH,True,2004-08-23
C0003,P0289,SH,True,2004-08-23
C0003,P0263,ADM,True,2004-08-23
C0003,P0289,ADM,True,2004-08-23
C0003,P0503,ADM,True,2004-08-23
C0003,P0263,LR,True,2004-08-23
C0003,P0219,SH,True,2004-08-23
C0003,P0242,LR,True,2004-08-23
C0003,P0180,ADM,True,2004-08-23
C0003,P0289,LR,True,2004-08-23
C0003,P0263,SH,True,2004-08-23
C0003,P0503,LR,True,2004-08-23
C0005,P0033,LR,True,2006-07-31
C0004,P0416,SH,True,2006-07-31
C0004,P0151,SH,True,2006-07-31
C0004,P0416,ADM,True,2006-07-31
C0004,P0356,COM,True,2006-07-31
C0005,P0326,COM,True,2006-07-31
C0005,P0033,ADM,True,2006-07-31
C0005,P0484,SH,True,2006-07-31
C0005,P0033,SH,True,2006-07-31
C0006,P0308,LR,True,2007-10-10
C0006,P0329,COM,True,2007-10-10
C0006,P0338,LR,True,2007-10-10
C0006,P0308,ADM,True,2007-10-10
C0006,P0308,SH,True,2007-10-10
C0006,P0038,SH,True,2007-10-10
C0006,P0401,LR,True,2007-10-10
C0007,P0066,LR,True,2008-10-24
C0007,P0017,LR,True,2008-10-24
C0007,P0502,SH,True,2008-10-24
C0007,P0017,ADM,True,2008-10-24
C0007,P0439,LR,True,2008-10-24
C0007,P0117,COM,True,2008-10-24
C0007,P0017,SH,True,2008-10-24
C0008,P0391,LR,False,2008-12-02
C0008,P0010,LR,False,2008-12-02
C0008,P0321,LR,False,2008-12-02
C0008,P0170,LR,False,2008-12-02
C0008,P0143,LR,False,2008-12-02
C0008,P0061,LR,False,2008-12-02
C0008,P0036,LR,False,2008-12-02
C0008,P0125,COM,False,2008-12-02
C0008,P0477,SH,False,2008-12-02
C0008,P0391,SH,False,2008-12-02
C0008,P0108,SH,False,2008-12-02
C0008,P0443,LR,False,2008-12-02
C0008,P0391,ADM,False,2008-12-02
C0009,P0487,ADM,True,2009-03-19
C0009,P0141,ADM,True,2009-03-19
C0009,P0495,SH,True,2009-03-19
C0009,P0040,SH,True,2009-03-19
C0009,P0040,ADM,True,2009-03-19
C0009,P0040,LR,True,2009-03-19
C0009,P0496,SH,True,2009-03-19
C0009,P0241,LR,True,2009-03-19
C0009,P0141,LR,True,2009-03-19
C0009,P0015,COM,True,2009-03-19
C0010,P0006,SH,True,2009-05-27
C0010,P0383,SH,True,2009-05-27
C0010,P0006,LR,True,2009-05-27
C0010,P0226,LR,True,2009-05-27
C0010,P0383,ADM,True,2009-05-27
C0010,P0006,COM,True,2009-05-27
C0011,P0222,ADM,True,2009-11-12
C0011,P0071,LR,True,2009-11-12
C0011,P0067,LR,True,2009-11-12
C0011,P0008,LR,True,2009-11-12
C0011,P0147,COM,True,2009-11-12
C0011,P0413,LR,True,2009-11-12
C0011,P0450,LR,True,2009-11-12
C0011,P0455,ADM,True,2009-11-12
C0011,P0192,LR,True,2009-11-12
C0011,P0093,SH,True,2009-11-12
C0011,P0192,SH,True,2009-11-12
C0011,P0222,SH,True,2009-11-12
C0011,P0455,SH,True,2009-11-12
C0011,P0093,ADM,True,2009-11-12
C0011,P0323,LR,True,2009-11-12
C0012,P0144,LR,False,2010-02-10
C0012,P0447,ADM,False,2010-02-10
C0012,P0096,COM,False,2010-02-10
C0012,P0159,LR,False,2010-02-10
C0012,P0139,LR,False,2010-02-10
C0012,P0447,LR,False,2010-02-10
C0012,P0159,ADM,False,2010-02-10
C0012,P0294,SH,False,2010-02-10
C0012,P0276,SH,False,2010-02-10
C0012,P0196,ADM,False,2010-02-10
C0013,P0493,LR,False,2010-03-09
C0013,P0394,LR,False,2010-03-09
C0013,P0394,SH,False,2010-03-09
C0013,P0319,ADM,False,2010-03-09
C0013,P0312,LR,False,2010-03-09
C0013,P0319,SH,False,2010-03-09
C0013,P0251,LR,False,2010-03-09
C0013,P0155,COM,False,2010-03-09
C0013,P0363,LR,False,2010-03-09
C0013,P0004,LR,False,2010-03-09
C0013,P0046,LR,False,2010-03-09
C0013,P0319,LR,False,2010-03-09
C0014,P0112,SH,True,2010-04-08
C0014,P0112,ADM,True,2010-04-08
C0014,P0189,ADM,True,2010-04-08
C0014,P0409,COM,True,2010-04-08
