source,target,edge_type,shell,creation_date
C0001,P0119,SH,True,1989-11-17
C0001,P0154,SH,True,1989-11-17
C0002,P0155,SH,True,1991-12-19
C0002,P0290,SH,True,1991-12-19
C0002,P0187,LR,True,1991-12-19
C0002,P0155,ADM,True,1991-12-19
C0002,P0155,LR,True,1991-12-19
C0003,P0297,LR,False,1995-06-27
C0003,P0313,ADM,False,1995-06-27
C0003,P0401,COM,False,1995-06-27
C0005,P0428,LR,False,1997-09-30
C0005,P0428,ADM,False,1997-09-30
C0005,P0238,ADM,False,1997-09-30
C0005,P0118,COM,False,1997-09-30
C0005,P0428,SH,False,1997-09-30
C0005,P0238,LR,False,1997-09-30
C0005,P0238,SH,False,1997-09-30
C0006,P0380,COM,True,1998-04-08
C0006,P0437,SH,True,1998-04-08
C0006,P0437,ADM,True,1998-04-08
C0006,P0437,LR,True,1998-04-08
C0006,P0218,SH,True,1998-04-08
C0006,P0113,LR,True,1998-04-08
C0007,P0268,LR,False,1998-08-31
C0007,P0267,LR,False,1998-08-31
C0008,P0072,LR,True,1998-10-15
C0009,P0382,COM,True,1999-02-03
C0009,P0039,SH,True,1999-02-03
C0009,P0408,SH,True,1999-02-03
C0009,P0408,ADM,True,1999-02-03
C0009,P0408,LR,True,1999-02-03
C0009,P0181,SH,True,1999-02-03
C0009,P0409,SH,True,1999-02-03
C0010,P0356,LR,True,1999-08-12
C0011,P0244,SH,False,2000-10-03
C0011,P0297,SH,False,2000-10-03
C0011,P0297,LR,False,2000-10-03
C0011,P0098,COM,False,2000-10-03
C0011,P0088,ADM,False,2000-10-03
C0011,P0158,COM,False,2000-10-03
C0011,P0017,SH,False,2000-10-03
C0011,P0438,SH,False,2000-10-03
C0012,P0028,LR,True,2003-06-13
C0012,P0074,ADM,True,2003-06-13
C0012,P0074,SH,True,2003-06-13
C0012,P0074,LR,True,2003-06-13
C0012,P0116,COM,True,2003-06-13
C0012,P0116,SH,True,2003-06-13
C0013,P0433,ADM,False,2004-05-28
C0013,P0292,ADM,False,2004-05-28
C0013,P0269,COM,False,2004-05-28
C0013,P0338,LR,False,2004-05-28
C0013,P0334,ADM,False,2004-05-28
C0013,P0335,ADM,False,2004-05-28
C0013,P0338,SH,False,2004-05-28
C0013,P0334,SH,False,2004-05-28
C0013,P0246,COM,False,2004-05-28
C0014,P0447,SH,True,2004-08-23
C0014,P0261,LR,True,2004-08-23
C0014,P0261,ADM,True,2004-08-23
C0014,P0261,SH,True,2004-08-23
C0014,P0236,SH,True,2004-08-23
C0014,P0236,LR,True,2004-08-23
C0015,P0106,ADM,False,2005-01-14
C0015,P0107,SH,False,2005-01-14
C0015,P0107,ADM,False,2005-01-14
C0015,P0144,ADM,False,2005-01-14
C0015,P0225,ADM,False,2005-01-14
C0015,P0270,LR,False,2005-01-14
C0015,P0155,ADM,False,2005-01-14
C0015,P0451,COM,False,2005-01-14
C0015,P0394,ADM,False,2005-01-14
C0015,P0360,SH,False,2005-01-14
C0015,P0146,LR,False,2005-01-14
C0017,P0255,ADM,False,2005-02-17
C0017,P0255,LR,False,2005-02-17
C0017,P0255,SH,False,2005-02-17
C0017,P0449,SH,False,2005-02-17
C0017,P0418,LR,False,2005-02-17
C0017,P0353,COM,False,2005-02-17
C0018,P0230,COM,False,2005-05-06
C0018,P0431,SH,False,2005-05-06
C0018,P0149,LR,False,2005-05-06
C0018,P0431,ADM,False,2005-05-06
C0018,P0149,ADM,False,2005-05-06
C0018,P0458,ADM,False,2005-05-06
C0018,P0169,LR,False,2005-05-06
C0018,P0458,SH,False,2005-05-06
C0018,P0149,SH,False,2005-05-06
C0019,P0086,LR,False,2005-06-13
C0019,P0308,COM,False,2005-06-13
C0019,P0233,SH,False,2005-06-13
C0019,P0233,ADM,False,2005-06-13
C0019,P0069,SH,False,2005-06-13
C0019,P0194,ADM,False,2005-06-13
C0019,P0265,ADM,False,2005-06-13
C0020,P0138,ADM,True,2005-06-27
C0020,P0067,COM,True,2005-06-27
C0020,P0067,SH,True,2005-06-27
C0020,P0138,SH,True,2005-06-27
C0020,P0212,LR,True,2005-06-27
C0020,P0141,LR,True,2005-06-27
C0021,P0419,LR,False,2006-01-20
C0022,P0184,LR,False,2006-02-13
C0022,P0184,ADM,False,2006-02-13
C0022,P0184,SH,False,2006-02-13
C0022,P0407,SH,False,2006-02-13
C0022,P0412,COM,False,2006-02-13
C0023,P0036,SH,True,2006-04-17
C0023,P0298,SH,True,2006-04-17
C0023,P0293,LR,True,2006-04-17
C0023,P0259,COM,True,2006-04-17
C0023,P0258,SH,True,2006-04-17
C0023,P0258,ADM,True,2006-04-17
C0024,P0377,LR,False,2006-04-18
C0024,P0417,COM,False,2006-04-18
C0024,P0417,SH,False,2006-04-18
C0024,P0415,SH,False,2006-04-18
C0024,P0377,ADM,False,2006-04-18
C0024,P0377,SH,False,2006-04-18
C0024,P0309,ADM,False,2006-04-18
C0024,P0309,SH,False,2006-04-18
C0025,P0317,LR,False,2006-07-22
C0025,P0295,SH,False,2006-07-22
C0025,P0253,COM,False,2006-07-22
C0025,P0365,LR,False,2006-07-22
C0025,P0432,LR,False,2006-07-22
C0025,P0441,LR,False,2006-07-22
C0025,P0001,SH,False,2006-07-22
C0025,P0083,LR,False,2006-07-22
C0025,P0001,ADM,False,2006-07-22
C0025,P0001,LR,False,2006-07-22
C0025,P0112,LR,False,2006-07-22
C0025,P0134,LR,False,2006-07-22
C0025,P0134,SH,False,2006-07-22
C0026,P0374,SH,False,2006-09-15
C0026,P0110,COM,False,2006-09-15
C0026,P0051,ADM,False,2006-09-15
C0026,P0051,SH,False,2006-09-15
C0026,P0374,LR,False,2006-09-15
C0027,P0054,COM,True,2006-09-30
C0027,P0376,SH,True,2006-09-30
C0027,P0425,SH,True,2006-09-30
C0027,P0376,ADM,True,2006-09-30
C0027,P0004,LR,True,2006-09-30
C0028,P0079,SH,False,2007-04-13
C0028,P0454,COM,False,2007-04-13
C0028,P0454,SH,False,2007-04-13
C0028,P0211,SH,False,2007-04-13
C0028,P0283,SH,False,2007-04-13
C0028,P0283,ADM,False,2007-04-13
C0028,P0283,LR,False,2007-04-13
C0029,P0302,COM,False,2007-04-25
C0029,P0302,SH,False,2007-04-25
C0029,P0452,ADM,False,2007-04-25
C0029,P0452,LR,False,2007-04-25
C0029,P0452,SH,False,2007-04-25
C0030,P0170,LR,True,2007-07-11
C0030,P0170,ADM,True,2007-07-11
C0030,P0256,SH,True,2007-07-11
C0030,P0170,SH,True,2007-07-11
C0030,P0389,COM,True,2007-07-11
C0031,P0127,SH,True,2007-09-26
C0031,P0063,SH,True,2007-09-26
C0031,P0310,COM,True,2007-09-26
C0031,P0127,LR,True,2007-09-26
C0031,P0127,ADM,True,2007-09-26
C0032,P0386,SH,True,2007-12-11
C0032,P0220,COM,True,2007-12-11
C0032,P0392,ADM,True,2007-12-11
C0032,P0392,LR,True,2007-12-11
C0032,P0392,SH,True,2007-12-11
C0033,P0399,SH,False,2008-03-27
C0033,P0200,SH,False,2008-03-27
C0033,P0399,LR,False,2008-03-27
C0033,P0399,ADM,False,2008-03-27
C0033,P0361,COM,False,2008-03-27
C0034,P0301,COM,False,2008-10-27
C0034,P0414,SH,False,2008-10-27
C0034,P0414,ADM,False,2008-10-27
C0034,P0421,SH,False,2008-10-27
C0034,P0183,LR,False,2008-10-27
C0035,P0070,LR,False,2009-01-06
C0035,P0342,ADM,False,2009-01-06
C0035,P0342,SH,False,2009-01-06
C0035,P0284,LR,False,2009-01-06
C0035,P0243,LR,False,2009-01-06
C0035,P0347,LR,False,2009-01-06
C0035,P0350,LR,False,2009-01-06
C0035,P0108,LR,False,2009-01-06
C0035,P0263,LR,False,2009-01-06
C0035,P0271,LR,False,2009-01-06
C0035,P0373,LR,False,2009-01-06
C0035,P0190,LR,False,2009-01-06
C0035,P0195,LR,False,2009-01-06
C0035,P0030,LR,False,2009-01-06
C0035,P0130,LR,False,2009-01-06
C0035,P0460,LR,False,2009-01-06
C0035,P0152,LR,False,2009-01-06
C0035,P0012,LR,False,2009-01-06
C0035,P0178,SH,False,2009-01-06
C0035,P0179,LR,False,2009-01-06
C0035,P0021,SH,False,2009-01-06
C0035,P0021,COM,False,2009-01-06
C0035,P0462,LR,False,2009-01-06
C0035,P0048,LR,False,2009-01-06
C0035,P0341,LR,False,2009-01-06
C0035,P0057,LR,False,2009-01-06
C0035,P0403,LR,False,2009-01-06
C0035,P0430,LR,False,2009-01-06
C0035,P0424,LR,False,2009-01-06
C0035,P0332,LR,False,2009-01-06
C0036,P0092,SH,True,2009-01-22
C0036,P0095,LR,True,2009-01-22
C0036,P0426,SH,True,2009-01-22
C0036,P0426,LR,True,2009-01-22
C0036,P0400,LR,True,2009-01-22
C0037,P0153,ADM,False,2009-02-12
C0037,P0022,COM,False,2009-02-12
C0037,P0153,LR,False,2009-02-12
C0037,P0250,SH,False,2009-02-12
C0037,P0153,SH,False,2009-02-12
C0039,P0462,LR,True,2009-02-20
C0039,P0460,LR,True,2009-02-20
C0039,P0021,SH,True,2009-02-20
C0039,P0328,LR,True,2009-02-20
C0039,P0030,LR,True,2009-02-20
C0039,P0048,LR,True,2009-02-20
C0039,P0430,LR,True,2009-02-20
C0039,P0021,COM,True,2009-02-20
C0038,P0021,SH,False,2009-02-20
C0039,P0012,LR,True,2009-02-20
C0039,P0424,LR,True,2009-02-20
C0039,P0057,LR,True,2009-02-20
C0039,P0350,LR,True,2009-02-20
C0039,P0347,LR,True,2009-02-20
C0039,P0403,LR,True,2009-02-20
C0039,P0373,LR,True,2009-02-20
C0039,P0342,SH,True,2009-02-20
C0039,P0342,ADM,True,2009-02-20
C0038,P0342,ADM,False,2009-02-20
C0038,P0342,SH,False,2009-02-20
C0039,P0341,LR,True,2009-02-20
C0039,P0070,LR,True,2009-02-20
C0039,P0178,SH,True,2009-02-20
C0038,P0178,SH,False,2009-02-20
C0039,P0284,LR,True,2009-02-20
C0039,P0152,LR,True,2009-02-20
C0039,P0243,LR,True,2009-02-20
C0039,P0263,LR,True,2009-02-20
C0039,P0271,LR,True,2009-02-20
C0039,P0108,LR,True,2009-02-20
C0039,P0190,LR,True,2009-02-20
C0039,P0195,LR,True,2009-02-20
C0039,P0130,LR,True,2009-02-20
C0039,P0179,LR,True,2009-02-20
C0040,P0132,SH,False,2009-02-21
C0040,P0381,COM,False,2009-02-21
C0040,P0132,LR,False,2009-02-21
C0040,P0390,SH,False,2009-02-21
C0040,P0132,ADM,False,2009-02-21
C0041,P0291,LR,True,2009-04-23
C0041,P0192,ADM,True,2009-04-23
C0041,P0286,ADM,True,2009-04-23
C0041,P0422,SH,True,2009-04-23
C0041,P0059,SH,True,2009-04-23
C0041,P0059,COM,True,2009-04-23
C0041,P0363,SH,True,2009-04-23
C0041,P0276,SH,True,2009-04-23
C0042,P0405,LR,False,2009-06-26
C0042,P0173,COM,False,2009-06-26
C0042,P0405,SH,False,2009-06-26
C0042,P0073,LR,False,2009-06-26
C0042,P0405,ADM,False,2009-06-26
C0042,P0320,SH,False,2009-06-26
C0043,P0228,COM,False,2009-08-21
C0043,P0228,LR,False,2009-08-21
C0043,P0056,COM,False,2009-08-21
C0043,P0325,COM,False,2009-08-21
C0043,P0326,SH,False,2009-08-21
C0043,P0325,LR,False,2009-08-21
C0043,P0326,ADM,False,2009-08-21
C0043,P0228,SH,False,2009-08-21
C0044,P0022,COM,False,2009-09-06
C0044,P0013,SH,False,2009-09-06
C0044,P0315,SH,False,2009-09-06
C0044,P0315,ADM,False,2009-09-06
C0044,P0105,LR,False,2009-09-06
C0045,P0136,ADM,False,2009-09-12
C0045,P0203,COM,False,2009-09-12
C0045,P0136,LR,False,2009-09-12
C0045,P0147,SH,False,2009-09-12
C0045,P0136,SH,False,2009-09-12
C0046,P0136,SH,False,2009-11-11
C0046,P0136,ADM,False,2009-11-11
C0046,P0304,COM,False,2009-11-11
C0046,P0147,SH,False,2009-11-11
C0047,P0319,COM,False,2009-12-01
C0047,P0290,SH,False,2009-12-01
C0047,P0155,ADM,False,2009-12-01
C0047,P0155,LR,False,2009-12-01
C0047,P0155,SH,False,2009-12-01
C0048,P0034,SH,True,2010-01-20
C0048,P0241,ADM,True,2010-01-20
C0048,P0241,LR,True,2010-01-20
C0048,P0185,COM,True,2010-01-20
C0048,P0241,SH,True,2010-01-20
C0049,P0199,SH,False,2010-02-03
C0049,P0199,LR,False,2010-02-03
C0049,P0207,LR,False,2010-02-03
C0049,P0299,COM,False,2010-02-03
C0049,P0164,LR,False,2010-02-03
C0049,P0324,SH,False,2010-02-03
C0049,P0311,COM,False,2010-02-03
C0049,P0164,LR,False,2010-02-03
C0049,P0199,ADM,False,2010-02-03
C0050,P0168,LR,True,2010-03-24
C0050,P0172,SH,True,2010-03-24
C0050,P0172,ADM,True,2010-03-24
C0050,P0097,SH,True,2010-03-24
C0050,P0097,ADM,True,2010-03-24
C0050,P0385,COM,True,2010-03-24
C0050,P0126,LR,True,2010-03-24
C0051,P0368,COM,False,2010-04-20
C0051,P0055,LR,False,2010-04-20
C0051,P0055,ADM,False,2010-04-20
C0051,P0055,SH,False,2010-04-20
C0051,P0423,SH,False,2010-04-20
C0053,P0060,LR,True,2010-04-30
C0054,P0304,COM,True,2010-04-30
C0053,P0247,SH,True,2010-04-30
C0053,P0339,SH,True,2010-04-30
C0054,P0147,SH,True,2010-04-30
C0053,P0300,ADM,True,2010-04-30
C0053,P0300,SH,True,2010-04-30
C0054,P0007,COM,True,2010-04-30
C0054,P0316,COM,True,2010-04-30
C0053,P0052,LR,True,2010-04-30
C0053,P0052,ADM,True,2010-04-30
C0054,P0427,LR,True,2010-04-30
C0054,P0427,ADM,True,2010-04-30
C0052,P0223,SH,False,2010-04-30
C0052,P0203,COM,False,2010-04-30
C0052,P0026,ADM,False,2010-04-30
C0054,P0398,ADM,True,2010-04-30
C0054,P0398,SH,True,2010-04-30
C0053,P0234,COM,True,2010-04-30
C0052,P0026,SH,False,2010-04-30
C0055,P0023,COM,False,2010-05-07
C0055,P0003,SH,False,2010-05-07
C0055,P0082,LR,False,2010-05-07
C0055,P0082,ADM,False,2010-05-07
C0055,P0082,SH,False,2010-05-07
C0055,P0003,ADM,False,2010-05-07
C0056,P0197,LR,False,2010-10-23
C0056,P0171,LR,False,2010-10-23
C0056,P0224,LR,False,2010-10-23
C0057,P0061,SH,False,2010-11-11
C0057,P0061,ADM,False,2010-11-11
C0057,P0304,COM,False,2010-11-11
C0057,P0362,SH,False,2010-11-11
C0058,P0370,SH,False,2010-11-24
C0058,P0186,LR,False,2010-11-24
C0058,P0370,ADM,False,2010-11-24
C0058,P0109,COM,False,2010-11-24
C0058,P0013,SH,False,2010-11-24
C0058,P0050,SH,False,2010-11-24
C0059,P0235,COM,True,2010-12-16
C0059,P0226,LR,True,2010-12-16
C0059,P0226,ADM,True,2010-12-16
C0059,P0372,LR,True,2010-12-16
C0059,P0278,LR,True,2010-12-16
C0059,P0260,LR,True,2010-12-16
C0059,P0385,SH,True,2010-12-16
C0059,P0168,LR,True,2010-12-16
C0059,P0226,SH,True,2010-12-16
C0059,P0166,LR,True,2010-12-16
C0060,P0137,ADM,True,2011-03-16
C0060,P0163,LR,True,2011-03-16
C0060,P0163,SH,True,2011-03-16
C0060,P0137,LR,True,2011-03-16
C0060,P0016,COM,True,2011-03-16
C0060,P0137,SH,True,2011-03-16
C0061,P0364,SH,True,2011-04-10
C0061,P0115,SH,True,2011-04-10
C0061,P0115,ADM,True,2011-04-10
C0061,P0266,COM,True,2011-04-10
C0062,P0314,LR,True,2011-06-14
C0062,P0314,ADM,True,2011-06-14
C0062,P0287,ADM,True,2011-06-14
C0062,P0287,SH,True,2011-06-14
C0062,P0446,ADM,True,2011-06-14
C0062,P0314,SH,True,2011-06-14
C0062,P0446,SH,True,2011-06-14
C0062,P0359,COM,True,2011-06-14
C0063,P0445,LR,True,2011-08-03
C0063,P0300,SH,True,2011-08-03
C0063,P0102,SH,True,2011-08-03
C0063,P0143,LR,True,2011-08-03
C0063,P0052,LR,True,2011-08-03
C0063,P0300,ADM,True,2011-08-03
C0063,P0300,LR,True,2011-08-03
C0063,P0234,COM,True,2011-08-03
C0065,P0249,ADM,False,2011-08-11
C0065,P0249,SH,False,2011-08-11
C0064,P0038,SH,True,2011-08-11
C0066,P0416,SH,True,2011-08-11
C0066,P0416,COM,True,2011-08-11
C0064,P0038,ADM,True,2011-08-11
C0065,P0077,COM,False,2011-08-11
C0066,P0232,LR,True,2011-08-11
C0065,P0249,LR,False,2011-08-11
C0064,P0274,LR,True,2011-08-11
C0065,P0068,ADM,False,2011-08-11
C0066,P0439,SH,True,2011-08-11
C0064,P0337,SH,True,2011-08-11
C0064,P0337,COM,True,2011-08-11
C0065,P0344,SH,False,2011-08-11
C0065,P0344,ADM,False,2011-08-11
C0066,P0257,LR,True,2011-08-11
C0066,P0439,ADM,True,2011-08-11
C0065,P0068,SH,False,2011-08-11
C0067,P0440,COM,False,2011-08-12
C0067,P0448,SH,False,2011-08-12
C0067,P0448,ADM,False,2011-08-12
C0067,P0448,LR,False,2011-08-12
C0067,P0131,LR,False,2011-08-12
C0067,P0176,SH,False,2011-08-12
C0068,P0075,COM,True,2011-09-14
C0068,P0062,SH,True,2011-09-14
C0068,P0062,LR,True,2011-09-14
C0068,P0111,SH,True,2011-09-14
C0068,P0062,ADM,True,2011-09-14
C0069,P0103,SH,True,2011-10-01
C0069,P0303,COM,True,2011-10-01
C0069,P0085,LR,True,2011-10-01
C0069,P0085,ADM,True,2011-10-01
C0069,P0085,SH,True,2011-10-01
C0070,P0168,LR,True,2011-10-07
C0071,P0168,LR,True,2011-10-07
C0070,P0278,LR,True,2011-10-07
C0071,P0278,LR,True,2011-10-07
C0070,P0226,SH,True,2011-10-07
C0071,P0209,LR,True,2011-10-07
C0071,P0209,SH,True,2011-10-07
C0071,P0166,LR,True,2011-10-07
C0071,P0145,COM,True,2011-10-07
C0070,P0145,COM,True,2011-10-07
C0071,P0385,ADM,True,2011-10-07
C0071,P0385,SH,True,2011-10-07
C0070,P0372,LR,True,2011-10-07
C0071,P0372,LR,True,2011-10-07
C0070,P0097,SH,True,2011-10-07
C0070,P0097,ADM,True,2011-10-07
C0070,P0097,LR,True,2011-10-07
C0072,P0189,LR,False,2011-10-11
C0072,P0275,SH,False,2011-10-11
C0072,P0275,COM,False,2011-10-11
C0072,P0358,ADM,False,2011-10-11
C0072,P0358,SH,False,2011-10-11
C0073,P0434,COM,True,2011-11-25
C0073,P0193,SH,True,2011-11-25
C0073,P0002,SH,True,2011-11-25
C0073,P0002,ADM,True,2011-11-25
C0073,P0002,LR,True,2011-11-25
C0074,P0346,LR,True,2011-11-29
C0074,P0346,ADM,True,2011-11-29
C0074,P0042,SH,True,2011-11-29
C0074,P0346,SH,True,2011-11-29
C0074,P0277,COM,True,2011-11-29
C0075,P0216,SH,True,2011-12-09
C0075,P0216,LR,True,2011-12-09
C0075,P0216,ADM,True,2011-12-09
C0075,P0312,COM,True,2011-12-09
C0075,P0005,SH,True,2011-12-09
C0076,P0410,LR,False,2012-02-03
C0076,P0306,SH,False,2012-02-03
C0076,P0410,ADM,False,2012-02-03
C0077,P0159,LR,False,2012-02-03
C0077,P0201,ADM,False,2012-02-03
C0077,P0053,SH,False,2012-02-03
C0077,P0201,SH,False,2012-02-03
C0076,P0306,COM,False,2012-02-03
C0076,P0410,SH,False,2012-02-03
C0077,P0053,COM,False,2012-02-03
C0078,P0322,ADM,True,2012-02-07
C0078,P0201,COM,True,2012-02-07
C0078,P0035,SH,True,2012-02-07
C0078,P0322,SH,True,2012-02-07
C0078,P0159,LR,True,2012-02-07
C0079,P0397,SH,False,2012-03-05
C0079,P0406,COM,False,2012-03-05
C0079,P0397,LR,False,2012-03-05
C0079,P0397,ADM,False,2012-03-05
C0079,P0442,SH,False,2012-03-05
C0080,P0413,SH,False,2012-03-13
C0080,P0305,ADM,False,2012-03-13
C0080,P0305,LR,False,2012-03-13
C0080,P0285,ADM,False,2012-03-13
C0080,P0217,SH,False,2012-03-13
C0080,P0279,COM,False,2012-03-13
C0081,P0296,LR,False,2012-03-16
C0081,P0296,ADM,False,2012-03-16
C0081,P0014,COM,False,2012-03-16
C0081,P0296,SH,False,2012-03-16
C0081,P0043,SH,False,2012-03-16
C0081,P0043,LR,False,2012-03-16
C0081,P0129,SH,False,2012-03-16
C0081,P0321,ADM,False,2012-03-16
C0081,P0321,SH,False,2012-03-16
C0081,P0242,SH,False,2012-03-16
C0083,P0240,SH,False,2012-03-26
C0083,P0240,LR,False,2012-03-26
C0083,P0151,ADM,False,2012-03-26
C0083,P0264,LR,False,2012-03-26
C0083,P0151,SH,False,2012-03-26
C0082,P0142,SH,False,2012-03-26
C0083,P0240,ADM,False,2012-03-26
C0082,P0411,LR,False,2012-03-26
C0082,P0411,ADM,False,2012-03-26
C0082,P0411,SH,False,2012-03-26
C0082,P0288,COM,False,2012-03-26
C0084,P0128,SH,True,2012-04-05
C0084,P0084,ADM,True,2012-04-05
C0084,P0128,ADM,True,2012-04-05
C0084,P0084,SH,True,2012-04-05
C0084,P0047,COM,True,2012-04-05
C0084,P0177,SH,True,2012-04-05
C0084,P0177,ADM,True,2012-04-05
C0085,P0104,SH,True,2012-04-13
C0085,P0046,LR,True,2012-04-13
C0085,P0032,LR,True,2012-04-13
C0085,P0104,ADM,True,2012-04-13
C0085,P0032,ADM,True,2012-04-13
C0085,P0032,SH,True,2012-04-13
C0086,P0045,ADM,True,2012-04-18
C0086,P0045,SH,True,2012-04-18
C0086,P0156,COM,True,2012-04-18
C0086,P0139,SH,True,2012-04-18
C0086,P0045,LR,True,2012-04-18
C0087,P0127,ADM,True,2012-04-20
C0088,P0202,COM,False,2012-04-20
C0087,P0127,LR,True,2012-04-20
C0088,P0348,LR,False,2012-04-20
C0088,P0202,SH,False,2012-04-20
C0087,P0167,SH,True,2012-04-20
C0087,P0121,SH,True,2012-04-20
C0088,P0089,LR,False,2012-04-20
C0087,P0379,SH,True,2012-04-20
C0088,P0080,ADM,False,2012-04-20
C0088,P0348,SH,False,2012-04-20
C0088,P0348,ADM,False,2012-04-20
C0087,P0027,COM,True,2012-04-20
C0089,P0282,LR,False,2012-04-25
C0089,P0461,SH,False,2012-04-25
C0089,P0311,COM,False,2012-04-25
C0089,P0282,ADM,False,2012-04-25
C0089,P0080,LR,False,2012-04-25
C0089,P0282,SH,False,2012-04-25
C0090,P0209,SH,True,2012-04-27
C0090,P0209,ADM,True,2012-04-27
C0090,P0125,SH,True,2012-04-27
C0090,P0049,LR,True,2012-04-27
C0090,P0226,COM,True,2012-04-27
C0091,P0165,SH,True,2012-05-07
C0091,P0248,COM,True,2012-05-07
C0091,P0090,LR,True,2012-05-07
C0091,P0165,LR,True,2012-05-07
C0091,P0009,LR,True,2012-05-07
C0091,P0165,ADM,True,2012-05-07
C0091,P0033,LR,True,2012-05-07
C0091,P0009,ADM,True,2012-05-07
C0091,P0009,SH,True,2012-05-07
C0092,P0174,COM,False,2012-05-10
C0092,P0378,ADM,False,2012-05-10
C0092,P0378,SH,False,2012-05-10
C0092,P0174,SH,False,2012-05-10
C0093,P0457,LR,False,2012-05-11
C0093,P0456,SH,False,2012-05-11
C0093,P0245,SH,False,2012-05-11
C0093,P0330,COM,False,2012-05-11
C0093,P0457,ADM,False,2012-05-11
C0094,P0120,SH,False,2012-06-01
C0094,P0066,COM,False,2012-06-01
C0094,P0066,SH,False,2012-06-01
C0094,P0351,LR,False,2012-06-01
C0094,P0351,ADM,False,2012-06-01
C0094,P0351,SH,False,2012-06-01
C0095,P0140,LR,False,2012-07-16
C0095,P0157,SH,False,2012-07-16
C0095,P0188,ADM,False,2012-07-16
C0095,P0343,COM,False,2012-07-16
C0095,P0188,SH,False,2012-07-16
C0095,P0229,LR,False,2012-07-16
C0096,P0318,SH,False,2012-07-20
C0096,P0318,ADM,False,2012-07-20
C0096,P0387,SH,False,2012-07-20
C0096,P0182,ADM,False,2012-07-20
C0096,P0355,SH,False,2012-07-20
C0096,P0355,ADM,False,2012-07-20
C0096,P0444,COM,False,2012-07-20
C0096,P0182,SH,False,2012-07-20
C0096,P0387,ADM,False,2012-07-20
C0098,P0058,SH,False,2012-09-21
C0098,P0058,ADM,False,2012-09-21
C0098,P0058,LR,False,2012-09-21
C0098,P0019,SH,False,2012-09-21
C0098,P0019,COM,False,2012-09-21
C0098,P0019,LR,False,2012-09-21
C0098,P0280,LR,False,2012-09-21
C0099,P0071,SH,True,2012-09-28
C0099,P0393,LR,True,2012-09-28
C0099,P0071,ADM,True,2012-09-28
C0099,P0345,COM,True,2012-09-28
C0099,P0133,LR,True,2012-09-28
C0099,P0345,SH,True,2012-09-28
C0100,P0213,LR,False,2012-10-19
C0100,P0006,LR,False,2012-10-19
C0100,P0081,COM,False,2012-10-19
C0100,P0020,SH,False,2012-10-19
C0100,P0213,SH,False,2012-10-19
C0100,P0020,ADM,False,2012-10-19
C0101,P0396,ADM,True,2012-11-16
C0101,P0327,COM,True,2012-11-16
C0101,P0175,SH,True,2012-11-16
C0101,P0175,ADM,True,2012-11-16
C0101,P0150,SH,True,2012-11-16
C0102,P0443,SH,False,2012-12-06
C0102,P0162,LR,False,2012-12-06
C0102,P0162,SH,False,2012-12-06
C0102,P0162,ADM,False,2012-12-06
C0102,P0443,COM,False,2012-12-06
C0103,P0459,LR,False,2012-12-11
C0103,P0094,SH,False,2012-12-11
C0103,P0094,ADM,False,2012-12-11
C0103,P0078,LR,False,2012-12-11
C0103,P0078,COM,False,2012-12-11
C0103,P0078,SH,False,2012-12-11
C0104,P0065,SH,True,2013-01-04
C0104,P0065,LR,True,2013-01-04
C0104,P0237,COM,True,2013-01-04
C0104,P0237,ADM,True,2013-01-04
C0104,P0065,ADM,True,2013-01-04
C0104,P0237,SH,True,2013-01-04
C0105,P0040,COM,False,2013-01-29
